home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30102,"Bartow County, GA",27,0.0414,95.3565
30904,"Richmond County, GA",27,0.0414,95.3979
30218,"Meriwether County, GA",26,0.0399,95.4378
30185,"Carroll County, GA",25,0.0383,95.4761
30256,"Pike County, GA",25,0.0383,95.5144
30656,"Walton County, GA",25,0.0383,95.5527
31405,"Chatham County, GA",25,0.0383,95.591
30506,"Forsyth County, GA",24,0.0368,95.6278
31206,"Bibb County, GA",24,0.0368,95.6646
30005,"Forsyth County, GA",23,0.0353,95.6999
30620,"Barrow County, GA",23,0.0353,95.7352
31093,"Houston County, GA",23,0.0353,95.7705
31313,"Liberty County, GA",23,0.0353,95.8058
31324,"Bryan County, GA",23,0.0353,95.8411
30025,"Newton County, GA",22,0.0337,95.8748
30184,"Bartow County, GA",22,0.0337,95.9085
30540,"Gilmer County, GA",22,0.0337,95.9422
30125,"Polk County, GA",21,0.0322,95.9744
31906,"Muscogee County, GA",21,0.0322,96.0066
30635,"Elbert County, GA",20,0.0307,96.0373
31005,"Houston County, GA",20,0.0307,96.068
31021,"Laurens County, GA",20,0.0307,96.0987
31069,"Houston County, GA",20,0.0307,96.1294
31601,"Lowndes County, GA",20,0.0307,96.1601
30153,"Polk County, GA",19,0.0291,96.1892
30216,"Butts County, GA",19,0.0291,96.2183
30273,"Henry County, GA",19,0.0291,96.2474
30293,"Meriwether County, GA",19,0.0291,96.2765
30548,"Gwinnett County, GA",19,0.0291,96.3056
30224,"Pike County, GA",18,0.0276,96.3332
30292,"Spalding County, GA",18,0.0276,96.3608
30736,"Catoosa County, GA",18,0.0276,96.3884
30901,"Richmond County, GA",18,0.0276,96.416
30179,"Paulding County, GA",17,0.0261,96.4421
30233,"Monroe County, GA",17,0.0261,96.4682
30533,"Lumpkin County, GA",17,0.0261,96.4943
31024,"Putnam County, GA",17,0.0261,96.5204
31404,"Chatham County, GA",17,0.0261,96.5465
30025,"Walton County, GA",16,0.0245,96.571
30168,"Douglas County, GA",16,0.0245,96.5955
30332,"Fulton County, GA",16,0.0245,96.62
30528,"White County, GA",16,0.0245,96.6445
30701,"Gordon County, GA",16,0.0245,96.669
30721,"Whitfield County, GA",16,0.0245,96.6935
31220,"Bibb County, GA",16,0.0245,96.718
31322,"Chatham County, GA",16,0.0245,96.7425
31525,"Glynn County, GA",16,0.0245,96.767
31548,"Camden County, GA",16,0.0245,96.7915
31816,"Meriwether County, GA",16,0.0245,96.816
31903,"Muscogee County, GA",16,0.0245,96.8405
30340,"Gwinnett County, GA",15,0.023,96.8635
30601,"Clarke County, GA",15,0.023,96.8865
30677,"Oconee County, GA",15,0.023,96.9095
30824,"McDuffie County, GA",15,0.023,96.9325
