home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles,nearest_xpress_park_ride,nearest_xpress_node_code,nearest_xpress_route_ids,distance_to_xpress_miles,outside_marta_10_miles,xpress_access_within_10_miles,xpress_extension_candidate
30224,"Lamar County, GA",8,1,33.204432,-84.239735,AIRPORT STATION,MARTA-AIRPORT,32.40,McDonough Park and Ride,XPRESS-400014,430,15.06,true,false,false
30234,"Henry County, GA",8,1,33.332567,-84.025298,AIRPORT STATION,MARTA-AIRPORT,32.27,McDonough Park and Ride,XPRESS-400014,430,10.72,true,false,false
30276,"Meriwether County, GA",8,1,33.263314,-84.583456,AIRPORT STATION,MARTA-AIRPORT,27.24,Newnan Park and Ride,XPRESS-400015,453,12.61,true,false,false
30523,"Habersham County, GA",8,1,34.713154,-83.551309,DORAVILLE STATION,MARTA-DORAVILLE,69.79,Hamilton Mill Park and Ride,XPRESS-400008,413|414,48.87,true,false,false
30566,"Hall County, GA",8,1,34.238652,-83.896845,DORAVILLE STATION,MARTA-DORAVILLE,31.97,Hamilton Mill Park and Ride,XPRESS-400008,413|414,11.38,true,false,false
30607,"Jackson County, GA",8,1,34.017305,-83.447551,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,47.99,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,26.35,true,false,false
30633,"Madison County, GA",8,1,34.180903,-83.249172,DORAVILLE STATION,MARTA-DORAVILLE,62.12,Hamilton Mill Park and Ride,XPRESS-400008,413|414,39.15,true,false,false
30662,"Franklin County, GA",8,1,34.266966,-83.137564,DORAVILLE STATION,MARTA-DORAVILLE,70.10,Hamilton Mill Park and Ride,XPRESS-400008,413|414,46.74,true,false,false
30673,"Wilkes County, GA",8,1,33.728090,-82.716244,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,86.98,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,70.83,true,false,false
30728,"Walker County, GA",8,1,34.684875,-85.225790,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,71.22,Hickory Grove Park and Ride,XPRESS-400030,484,55.26,true,false,false
30814,"Columbia County, GA",8,1,33.431091,-82.318849,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,112.41,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,99.35,true,false,false
31015,"Crisp County, GA",8,1,31.943011,-83.778608,AIRPORT STATION,MARTA-AIRPORT,123.53,McDonough Park and Ride,XPRESS-400014,430,104.49,true,false,false
31201,"Bibb County, GA",8,1,32.806321,-83.617860,AIRPORT STATION,MARTA-AIRPORT,74.93,McDonough Park and Ride,XPRESS-400014,430,53.32,true,false,false
31316,"Long County, GA",8,1,31.719283,-81.733272,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,202.76,McDonough Park and Ride,XPRESS-400014,430,184.58,true,false,false
31520,"Glynn County, GA",8,1,31.178078,-81.487563,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,240.00,McDonough Park and Ride,XPRESS-400014,430,220.61,true,false,false
31719,"Sumter County, GA",8,1,32.090308,-84.310747,AIRPORT STATION,MARTA-AIRPORT,107.40,McDonough Park and Ride,XPRESS-400014,430,91.97,true,false,false
39828,"Grady County, GA",8,1,30.798590,-84.226723,AIRPORT STATION,MARTA-AIRPORT,196.78,McDonough Park and Ride,XPRESS-400014,430,180.93,true,false,false
30013,"Newton County, GA",7,1,33.642603,-83.971853,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,17.22,West Conyers Park and Ride (DT),XPRESS-400025,426,5.81,true,true,true
30055,"Newton County, GA",7,1,33.497411,-83.749784,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,33.40,West Conyers Park and Ride (DT),XPRESS-400025,426,22.03,true,false,false
30107,"Forsyth County, GA",7,1,34.336098,-84.345464,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,27.05,Cumming Park and Ride,XPRESS-400004,401,15.76,true,false,false
30110,"Haralson County, GA",7,1,33.739243,-85.135434,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,38.27,West Douglas Park and Ride,XPRESS-400028,463,20.82,true,false,false
30157,"Cobb County, GA",7,1,33.884746,-84.871949,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,24.79,Hiram Park and Ride,XPRESS-400011,476,7.61,true,true,true
30230,"Coweta County, GA",7,1,33.166737,-84.920497,AIRPORT STATION,MARTA-AIRPORT,42.66,Newnan Park and Ride,XPRESS-400015,453,19.95,true,false,false
30230,"Meriwether County, GA",7,1,33.166737,-84.920497,AIRPORT STATION,MARTA-AIRPORT,42.66,Newnan Park and Ride,XPRESS-400015,453,19.95,true,false,false
30233,"Lamar County, GA",7,1,33.294709,-83.975561,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,35.94,McDonough Park and Ride,XPRESS-400014,430,14.56,true,false,false
30257,"Pike County, GA",7,1,33.143414,-84.186220,AIRPORT STATION,MARTA-AIRPORT,37.48,McDonough Park and Ride,XPRESS-400014,430,18.90,true,false,false
30517,"Gwinnett County, GA",7,1,34.130296,-83.797289,DORAVILLE STATION,MARTA-DORAVILLE,31.85,Hamilton Mill Park and Ride,XPRESS-400008,413|414,8.07,true,true,true
30517,"Jackson County, GA",7,1,34.130296,-83.797289,DORAVILLE STATION,MARTA-DORAVILLE,31.85,Hamilton Mill Park and Ride,XPRESS-400008,413|414,8.07,true,true,true
30531,"Habersham County, GA",7,1,34.512602,-83.592206,DORAVILLE STATION,MARTA-DORAVILLE,57.66,Hamilton Mill Park and Ride,XPRESS-400008,413|414,35.59,true,false,false
30534,"Forsyth County, GA",7,1,34.431100,-84.144329,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,35.75,Cumming Park and Ride,XPRESS-400004,401,17.23,true,false,false
30536,"Gilmer County, GA",7,1,34.652002,-84.359442,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,48.87,Cumming Park and Ride,XPRESS-400004,401,34.77,true,false,false
