home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30294,"DeKalb County, GA",355,36,33.636692,-84.264986,EAST LAKE STATION,MARTA-EAST-LAKE,9.30
30082,"Cobb County, GA",349,35,33.854654,-84.536437,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,7.91
30088,"DeKalb County, GA",338,34,33.756052,-84.182363,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,2.87
30062,"Cobb County, GA",320,32,34.006497,-84.472974,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,7.89
30223,"Spalding County, GA",303,30,33.288794,-84.279919,AIRPORT STATION,MARTA-AIRPORT,26.13
30067,"Cobb County, GA",302,30,33.934278,-84.462185,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,6.06
30314,"Fulton County, GA",300,30,33.757861,-84.431963,WEST LAKE STATION,MARTA-WEST-LAKE,0.84
30134,"Douglas County, GA",292,29,33.777520,-84.781390,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,17.98
30294,"Clayton County, GA",286,29,33.636692,-84.264986,EAST LAKE STATION,MARTA-EAST-LAKE,9.30
30030,"DeKalb County, GA",285,29,33.772712,-84.291005,DECATUR STATION,MARTA-DECATUR,0.29
30066,"Cobb County, GA",285,29,34.032388,-84.505154,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,10.42
30122,"Douglas County, GA",284,28,33.766909,-84.641356,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,9.91
30305,"Fulton County, GA",284,28,33.834063,-84.392063,LINDBERGH CENTER STATION,MARTA-LINDBERGH-CENTER,1.50
30047,"Gwinnett County, GA",279,28,33.870125,-84.112322,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,9.65
30087,"DeKalb County, GA",274,27,33.791402,-84.098277,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,7.68
30064,"Cobb County, GA",271,27,33.940455,-84.609708,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,14.47
30144,"Cobb County, GA",271,27,34.036845,-84.591033,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,14.83
30035,"DeKalb County, GA",269,27,33.724452,-84.204244,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,3.45
30101,"Cobb County, GA",268,27,34.034515,-84.707349,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,20.99
30044,"Gwinnett County, GA",264,26,33.921502,-84.068873,DORAVILLE STATION,MARTA-DORAVILLE,12.23
30319,"DeKalb County, GA",245,25,33.875954,-84.334763,BROOKHAVEN-OGLETHORPE STATION,MARTA-BROOKHAVEN-OGLETHORPE,1.12
30290,"Fayette County, GA",243,24,33.476407,-84.589704,AIRPORT STATION,MARTA-AIRPORT,14.03
30157,"Paulding County, GA",241,24,33.884746,-84.871949,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,24.79
30224,"Spalding County, GA",237,24,33.204432,-84.239735,AIRPORT STATION,MARTA-AIRPORT,32.40
30022,"Fulton County, GA",236,24,34.026085,-84.247433,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,8.44
30039,"Gwinnett County, GA",234,23,33.799244,-84.034408,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,11.38
30152,"Cobb County, GA",234,23,33.991564,-84.646870,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,16.91
30043,"Gwinnett County, GA",230,23,34.010038,-84.005043,DORAVILLE STATION,MARTA-DORAVILLE,17.46
30328,"Fulton County, GA",224,22,33.933259,-84.386656,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,1.86
30013,"Rockdale County, GA",221,22,33.642603,-83.971853,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,17.22
30052,"Gwinnett County, GA",221,22,33.817047,-83.897315,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,19.34
30096,"Gwinnett County, GA",219,22,33.974302,-84.145384,DORAVILLE STATION,MARTA-DORAVILLE,9.21
30316,"Fulton County, GA",218,22,33.716794,-84.331343,INMAN PARK-REYNOLDSTOWN STATION,MARTA-INMAN-PARK-REYNOLDSTOWN,3.06
30188,"Cherokee County, GA",215,22,34.123533,-84.457654,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,13.63
30106,"Cobb County, GA",213,21,33.832880,-84.628055,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,10.59
30040,"Forsyth County, GA",210,21,34.223434,-84.176440,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,21.86
30076,"Fulton County, GA",210,21,34.028568,-84.311368,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,6.37
30033,"DeKalb County, GA",209,21,33.813689,-84.284377,AVONDALE STATION,MARTA-AVONDALE,2.65
30180,"Carroll County, GA",208,21,33.718878,-84.918801,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,25.93
30338,"DeKalb County, GA",205,21,33.946218,-84.318119,SANDY SPRINGS STATION,MARTA-SANDY-SPRINGS,2.14
30068,"Cobb County, GA",199,20,33.968116,-84.431704,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,4.56
30132,"Paulding County, GA",199,20,33.977608,-84.851541,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,26.79
30350,"Fulton County, GA",199,20,33.980254,-84.330016,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,2.91
30306,"Fulton County, GA",197,20,33.788140,-84.352625,EDGEWOOD-CANDLER PARK STATION,MARTA-EDGEWOOD-CANDLER-PARK,1.94
30114,"Cherokee County, GA",196,20,34.243544,-84.535815,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,23.04
30294,"Henry County, GA",196,20,33.636692,-84.264986,EAST LAKE STATION,MARTA-EAST-LAKE,9.30
30075,"Fulton County, GA",194,19,34.052688,-84.391587,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,7.72
30342,"Fulton County, GA",193,19,33.884350,-84.374964,MEDICAL CENTER STATION,MARTA-MEDICAL-CENTER,2.26
30021,"DeKalb County, GA",191,19,33.807995,-84.238975,KENSINGTON STATION,MARTA-KENSINGTON,2.55
30014,"Newton County, GA",190,19,33.587193,-83.822173,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,26.60
30317,"DeKalb County, GA",190,19,33.747989,-84.315586,EAST LAKE STATION,MARTA-EAST-LAKE,1.20
30012,"Rockdale County, GA",189,19,33.717806,-84.002515,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,13.52
30233,"Butts County, GA",189,19,33.294709,-83.975561,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,35.94
30296,"Fulton County, GA",189,19,33.563160,-84.441157,AIRPORT STATION,MARTA-AIRPORT,5.36
30060,"Cobb County, GA",187,19,33.920062,-84.543100,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,10.79
30329,"DeKalb County, GA",186,19,33.827245,-84.322148,LENOX STATION,MARTA-LENOX,2.42
30168,"Cobb County, GA",184,18,33.783542,-84.588106,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,7.10
30341,"DeKalb County, GA",181,18,33.888505,-84.289532,CHAMBLEE STATION,MARTA-CHAMBLEE,0.94
30024,"Gwinnett County, GA",179,18,34.063485,-84.091100,DORAVILLE STATION,MARTA-DORAVILLE,15.55
